s.no,bus no,Apparent_Power,V0,Bus_status
1,1,0,12660,0
2,2,100000+60000i,12660,1
3,3,90000+40000i,12660,1
4,4,120000+80000i,12660,1
5,5,60000+30000i,12660,1
6,6,60000+20000i,12660,1
7,7,200000+100000i,12660,1
8,8,200000+100000i,12660,1
9,9,60000+20000i,12660,1
10,10,60000+20000i,12660,1
11,11,45000+30000i,12660,1
12,12,60000+35000i,12660,1
13,13,60000+35000i,12660,1
14,14,120000+80000i,12660,1
15,15,60000+10000i,12660,1
16,16,60000+20000i,12660,1
17,17,60000+20000i,12660,1
18,18,90000+40000i,12660,1
19,19,90000+40000i,12660,1
20,20,90000+40000i,12660,1
21,21,90000+40000i,12660,1
22,22,90000+40000i,12660,1
23,23,90000+50000i,12660,1
24,24,420000+200000i,12660,1
25,25,420000+200000i,12660,1
26,26,60000+25000i,12660,1
27,27,60000+25000i,12660,1
28,28,60000+20000i,12660,1
29,29,120000+70000i,12660,1
30,30,200000+600000i,12660,1
31,31,150000+70000i,12660,1
32,32,210000+100000i,12660,1
33,33,60000+40000i,12660,1
