s.no,from bus,To bus,Impedance,line_status
1,1,2,0.0922+0.047i,1
2,2,3,0.493+0.2511i,1
3,3,4,0.366+0.1864i,1
4,4,5,0.3811+0.1941i,1
5,5,6,0.819+0.707i,1
6,6,7,0.1872+0.6188i,1
7,7,8,1.7114+1.2351i,1
8,8,9,1.03+0.74i,1
9,9,10,1.044+0.74i,1
10,10,11,0.1966+0.065i,1
11,11,12,0.3744+0.1238i,1
12,12,13,1.468+1.155i,1
13,13,14,0.5416+0.7129i,1
14,14,15,0.591+0.526i,1
15,15,16,0.7463+0.545i,1
16,16,17,1.289+1.721i,1
17,17,18,0.732+0.574i,1
18,2,19,0.164+0.1565i,1
19,19,20,1.5042+1.3554i,1
20,20,21,0.4095+0.4784i,1
21,21,22,0.7089+0.9373i,1
22,3,23,0.4512+0.3083i,1
23,23,24,0.898+0.7091i,1
24,24,25,0.896+0.7011i,1
25,6,26,0.203+0.1034i,1
26,26,27,0.2842+0.1447i,1
27,27,28,1.059+0.9337i,1
28,28,29,0.8042+0.7006i,1
29,29,30,0.5075+0.2585i,1
30,30,31,0.9744+0.963i,1
31,31,32,0.3105+0.3619i,1
32,32,33,0.341+0.5302i,1
